-21.026,0,14.82
-19.967,0,14.065
-19.01,0,13.382
-18.14,0,12.762
-17.346,0,12.195
-16.619,1.1102e-16,11.677
-15.95,0,11.2
-15.333,0,10.76
-14.762,0,10.353
-14.232,0,9.9748
-13.739,0,9.623
-13.279,0,9.2948
-12.849,0,8.9878
-12.445,0,8.7001
-12.067,1.1102e-16,8.43
-11.71,0,8.1758
-11.374,0,7.9361
-11.057,0,7.7099
-10.757,0,7.4959
-10.473,0,7.2932
-10.203,0,7.101
-9.9473,0,6.9184
-9.7038,0,6.7447
-9.4719,0,6.5794
-9.2509,0,6.4218
-9.04,0,6.2713
-8.8384,0,6.1276
-8.6457,0,5.9901
-8.4612,1.1102e-16,5.8585
-8.2844,0,5.7324
-8.1148,0,5.6114
-7.952,0,5.4953
-7.7957,0,5.3838
-7.6453,0,5.2766
-7.5007,0,5.1734
-7.3614,0,5.0741
-7.2272,0,4.9784
-7.0978,0,4.8861
-6.973,1.1102e-16,4.7971
-6.8525,0,4.7111
-6.736,0,4.6281
-6.6235,0,4.5478
-6.5147,0,4.4702
-6.4093,0,4.395
-6.3074,1.1102e-16,4.3223
-6.2086,1.1102e-16,4.2519
-6.1129,0,4.1836
-6.02,0,4.1174
-5.93,0,4.0532
-5.8426,0,3.9908
-5.7578,1.1102e-16,3.9303
-5.6753,0,3.8715
-5.5952,0,3.8144
-5.5174,0,3.7588
-5.4416,0,3.7048
-5.368,0,3.6523
-5.2962,0,3.6011
-5.2264,0,3.5513
-5.1584,0,3.5028
-5.0922,0,3.4556
-5.0276,0,3.4095
-4.9646,0,3.3646
-4.9032,0,3.3208
-4.8433,0,3.2781
-4.7849,0,3.2364
-4.7278,0,3.1957
-4.6721,0,3.156
-4.6177,1.1102e-16,3.1172
-4.5645,0,3.0792
-4.5126,0,3.0422
-4.4618,1.1102e-16,3.006
-4.4121,0,2.9705
-4.3636,1.1102e-16,2.9359
-4.3161,0,2.902
-4.2696,0,2.8689
-4.2241,0,2.8364
-4.1795,1.1102e-16,2.8047
-4.1359,1.1102e-16,2.7736
-4.0932,1.1102e-16,2.7431
-4.0514,0,2.7133
-4.0104,0,2.6841
-3.9703,0,2.6554
-3.9309,0,2.6273
-3.8923,0,2.5998
-3.8545,0,2.5728
-3.8174,0,2.5463
-3.7809,0,2.5204
-3.7452,0,2.4949
